"id","name","cp","province","description","country","slogan","link","latitude","longitude"
"136","A Coruña","15001","A Coruña","A Coruña, ubicada en el noroeste de España, es una ciudad costera en la región de Galicia, conocida por su rica historia, cultura vibrante y paisajes impresionantes. Con una población de alrededor de 250,000 habitantes, es una de las ciudades más importantes de Galicia._x000D_
_x000D_
Uno de los símbolos más emblemáticos de A Coruña es la Torre de Hércules, el faro romano en funcionamiento más antiguo del mundo y Patrimonio de la Humanidad por la UNESCO. Desde su cima, los visitantes pueden disfrutar de vistas panorámicas del Atlántico y la ciudad. A lo largo del paseo marítimo, que es uno de los más largos de Europa, se puede admirar la belleza de las playas urbanas como Riazor y Orzán, que son populares tanto para los locales como para los turistas._x000D_
_x000D_
El casco antiguo de A Coruña, conocido como la Ciudad Vieja, está lleno de calles empedradas, plazas históricas y edificios de arquitectura medieval y barroca. La plaza de María Pita, dedicada a la heroína local que defendió la ciudad contra el ataque de las tropas inglesas en 1589, es un punto de encuentro central rodeado de restaurantes y bares donde se puede degustar la exquisita gastronomía gallega. Los mariscos frescos y el pulpo a la gallega son algunos de los platos más destacados._x000D_
_x000D_
A Coruña también es un importante centro comercial y de negocios. La ciudad alberga el puerto de A Coruña, uno de los más importantes de España, que juega un papel crucial en el comercio marítimo y la pesca. Además, la ciudad cuenta con una vibrante vida cultural y artística, con numerosos museos, galerías y teatros._x000D_
_x000D_
El clima de A Coruña es oceánico, con inviernos suaves y veranos frescos, lo que la convierte en un destino agradable durante todo el año. La combinación de su rica historia, entorno natural impresionante y vibrante vida urbana hacen de A Coruña una ciudad fascinante y acogedora para visitar y vivir.","1","Vive la magia del Atlántico","https://www.visitcoruna.com/","43.36380672155","-8.4221252631995"
"129","Airlie Beach","4802","Dawson","Airlie Beach, ubicada en la costa este de Australia, es una joya turística conocida por su belleza natural y su ambiente vibrante. Situada en el corazón de la región de Whitsundays, es la puerta de entrada a la Gran Barrera de Coral, uno de los tesoros naturales más impresionantes del mundo. Rodeada por aguas cristalinas y playas de arena blanca, esta pintoresca ciudad costera ofrece una amplia gama de actividades acuáticas, como snorkel, buceo, navegación y pesca. Los visitantes pueden explorar las islas cercanas, como la famosa isla Hamilton, con su lujoso complejo turístico y sus impresionantes vistas. Airlie Beach es también un punto de partida popular para excursiones a la Gran Barrera de Coral, donde los turistas pueden sumergirse en un mundo submarino lleno de vida marina colorida y fascinante. Además de sus atractivos naturales, Airlie Beach cuenta con una animada vida nocturna, con una variedad de bares, restaurantes y discotecas que ofrecen entretenimiento para todos los gustos. Durante el día, el paseo marítimo de la ciudad es el lugar perfecto para relajarse y disfrutar de las vistas al mar, mientras que por la noche cobra vida con música en vivo y una atmósfera festiva. Con su clima subtropical y su ambiente relajado, Airlie Beach es un destino popular para turistas de todo el mundo que buscan una escapada tropical inolvidable.","48","Corazón del arrecife","https://airliebeachtourism.com.au/","-20.267987924115","148.71522654905"
"49","Albufeira","8200","albufeira","Albufeira es una hermosa ciudad costera situada en el sur de Portugal, en la región del Algarve. Fundada en el siglo VIII por los árabes, esta ciudad tiene una rica historia y un encanto único que atrae a numerosos visitantes cada año._x000D_
_x000D_
La población de Albufeira es de aproximadamente 40,000 habitantes, aunque esta cifra se incrementa significativamente durante la temporada turística. Con sus impresionantes playas, clima templado y ambiente animado, Albufeira se ha convertido en uno de los destinos turísticos más populares de Portugal._x000D_
_x000D_
La comida típica de Albufeira se basa en los productos frescos del mar. Los mariscos y pescados son platos destacados, como la ""cataplana"", un guiso de mariscos cocinado en una olla especial llamada cataplana. También se puede disfrutar de platos como el ""arroz de marisco"" (arroz con mariscos) y el ""bacalhau à bras"" (bacalao desmenuzado con huevo y papas fritas). Además, no puedes dejar de probar los deliciosos pasteles y dulces tradicionales portugueses, como los ""pastéis de nata""._x000D_
_x000D_
Albufeira ofrece una amplia variedad de lugares para visitar. Su casco antiguo, conocido como ""Albufeira Velha"", es un laberinto de calles estrechas con casas blancas tradicionales, tiendas, restaurantes y bares. La Praia dos Pescadores es una de las playas más populares de la ciudad, con su hermosa arena dorada y aguas cristalinas. También puedes explorar las cuevas y formaciones rocosas en los alrededores de Albufeira a través de paseos en barco._x000D_
_x000D_
Para aquellos interesados en la historia, el Museo Municipal de Arqueología de Albufeira ofrece una visión fascinante del pasado de la región. Y si te gusta el golf, encontrarás campos de golf de alta calidad en los alrededores de la ciudad._x000D_
_x000D_
En resumen, Albufeira es una encantadora ciudad costera de Portugal con una historia rica, comida deliciosa y playas impresionantes. Su ambiente animado y su oferta de actividades hacen de Albufeira un destino ideal para los amantes del sol, el mar y la cultura.","2","Sur de la Peninsula Ibérica","","37.088596596907","-8.2342529285413"
"21","Amsterdam","1011","North Holland","Amsterdam es una ciudad vibrante y culturalmente rica que se encuentra en los Países Bajos. Fundada oficialmente en 1275, Amsterdam ha crecido desde sus humildes orígenes como un pequeño pueblo pesquero en las riberas del río Amstel hasta convertirse en la capital y ciudad más grande de los Países Bajos._x000D_
_x000D_
Con una población de aproximadamente 872,000 habitantes en la ciudad propiamente dicha y más de 1.3 millones en su área metropolitana, Amsterdam es un importante centro económico y turístico de Europa. La ciudad es famosa por su hermosa arquitectura, sus extensos canales y su ambiente acogedor._x000D_
_x000D_
La comida típica de Amsterdam incluye platos deliciosos y peculiares. El arenque crudo, conocido como ""haring"" en neerlandés, es una especialidad local muy popular. Otro plato emblemático es el ""stroopwafel"", una galleta dulce hecha de dos capas de masa con jarabe de caramelo en el medio. Además, no puedes dejar de probar las patatas fritas (""frites"") con salsa de maní o mayonesa, una delicia callejera tradicional._x000D_
_x000D_
Amsterdam cuenta con una gran cantidad de lugares interesantes para visitar. El Museo Van Gogh alberga una extensa colección de obras del famoso pintor holandés, mientras que el Rijksmuseum exhibe arte y objetos históricos de los Países Bajos. El Barrio Rojo es conocido por sus vitrinas y vida nocturna animada, mientras que el Vondelpark es un oasis verde perfecto para relajarse. Los famosos canales de Amsterdam ofrecen hermosos paseos en barco, y la Casa de Ana Frank es un conmovedor recordatorio de la historia de la Segunda Guerra Mundial._x000D_
_x000D_
En resumen, Amsterdam es una ciudad con una rica historia, una población diversa y una oferta culinaria única. Su combinación de belleza arquitectónica, cultura artística y encanto urbano la convierte en un destino turístico inolvidable.","39","Histórica y encantadora","https://www.iamsterdam.com/en","52.373489950829","4.8891264460036"
"124","Angers","49000","Anjou","Angers, ubicada en el oeste de Francia en la región de Países del Loira, es una ciudad que combina magistralmente la riqueza histórica con la vibrante modernidad. Conocida por su impresionante patrimonio medieval, Angers se enorgullece de su emblemático Castillo de Angers, una fortaleza del siglo XIII que alberga el famoso Tapiz del Apocalipsis, la mayor colección de tapices medievales del mundo. Este castillo, con sus 17 torres de esquisto y caliza, domina el paisaje urbano y es un testimonio de la importancia de Angers en la historia francesa._x000D_
_x000D_
Más allá de su pasado medieval, Angers es también un centro de innovación y cultura contemporánea. La ciudad alberga numerosas universidades y escuelas de enseñanza superior, lo que aporta una dinámica juventud y energía. Los estudiantes internacionales y locales se mezclan en los cafés, bibliotecas y espacios verdes, añadiendo un vibrante ambiente cosmopolita._x000D_
_x000D_
Angers es igualmente reconocida por sus espacios verdes y su compromiso con el medio ambiente. El Jardín de Plantas de Angers y el parque temático Terra Botanica son solo dos ejemplos de cómo la ciudad fusiona la naturaleza con la vida urbana, ofreciendo oasis verdes en medio de la arquitectura histórica y moderna._x000D_
_x000D_
La cultura y el arte florecen en Angers, con festivales, teatros y museos que ofrecen una rica programación durante todo el año. El Museo de Bellas Artes, por ejemplo, expone obras que van desde el siglo XIV hasta la actualidad, reflejando la diversa historia artística de la región._x000D_
_x000D_
La gastronomía en Angers es otra joya, con mercados locales que ofrecen productos frescos de la región, incluidos vinos del Valle del Loira y especialidades culinarias. Estos aspectos, combinados con la hospitalidad de sus habitantes, hacen de Angers un destino encantador, representativo de la belleza y la profundidad de la cultura francesa.","22","Corazón de Val de Loire","","47.471214364873","-0.55109077244823"
"19","Atenas","10432","Attica","Atenas es la capital de Grecia y una de las ciudades más antiguas del mundo, con una historia que se remonta a más de 3.000 años. Conocida como la cuna de la democracia y de la civilización occidental, Atenas es famosa por sus antiguas ruinas, su patrimonio cultural y su vibrante vida urbana._x000D_
_x000D_
El símbolo más emblemático de Atenas es la Acrópolis, una ciudadela en lo alto de una colina que alberga varias estructuras antiguas, como el Partenón, el Erecteión y el Templo de Atenea Niké. Estas magníficas ruinas son testimonio de la rica historia y los logros arquitectónicos de la ciudad. Desde la cima de la Acrópolis, los visitantes pueden disfrutar de vistas panorámicas de Atenas y sus alrededores._x000D_
_x000D_
En la base de la Acrópolis se encuentra el barrio histórico de Plaka. Con sus estrechas calles, edificios neoclásicos y tabernas tradicionales, Plaka ofrece un ambiente encantador donde los visitantes pueden pasear, comprar recuerdos y disfrutar de la cocina tradicional griega.","13","La Ciudad de los Dioses","https://www.thisisathens.org/","37.971773302168","23.725665672139"
"127","Bangkok","10100","Krung Thep","Bangkok, la bulliciosa capital de Tailandia, es una ciudad fascinante y vibrante que combina la rica historia y la modernidad de una manera única. Con una población de más de ocho millones de habitantes, Bangkok es un crisol de culturas, religiones y estilos de vida que se entrelazan en una metrópolis dinámica y en constante movimiento._x000D_
_x000D_
El corazón de Bangkok está marcado por sus templos budistas majestuosos y resplandecientes, como el famoso Wat Phra Kaew (Templo del Buda Esmeralda) y el Wat Arun (Templo del Amanecer), que dominan el horizonte con sus impresionantes diseños arquitectónicos y doradas estatuas de Buda. Estos sitios sagrados ofrecen una visión de la devoción espiritual y la rica herencia cultural tailandesa que ha perdurado a lo largo de los siglos._x000D_
_x000D_
No obstante, Bangkok es mucho más que sus templos. La ciudad está repleta de mercados bulliciosos, como el famoso mercado flotante de Damnoen Saduak, donde se puede disfrutar de la experiencia única de comprar productos frescos y artesanías desde pequeñas embarcaciones en los canales. Además, los mercados nocturnos como el de Patpong y el de Asiatique ofrecen una amplia gama de productos, desde souvenirs hasta deliciosas comidas callejeras._x000D_
_x000D_
La modernidad también se hace sentir en Bangkok a través de sus imponentes rascacielos, centros comerciales de clase mundial y una animada vida nocturna. Los distritos como Sukhumvit y Silom son conocidos por sus elegantes bares, restaurantes y clubes nocturnos que atraen a locales y turistas por igual._x000D_
_x000D_
Sin embargo, detrás del bullicio y el glamour, Bangkok conserva su esencia auténtica en los barrios antiguos como Chinatown y Thonburi, donde se puede explorar callejuelas llenas de historia, probar deliciosos platillos callejeros y sumergirse en la verdadera vida cotidiana de la ciudad._x000D_
_x000D_
En resumen, Bangkok es una ciudad que cautiva los sentidos con su mezcla única de tradición y modernidad, donde cada rincón ofrece una nueva experiencia para descubrir y disfrutar. Es un lugar donde el pasado y el presente se entrelazan de manera fascinante, creando un destino verdaderamente inolvidable para todos los que la visitan.","46","La ciudad Llena de Vida","https://www.tourismthailand.org/Destinations/Provinces/Bangkok/219","13.767405058123","100.51739877218"
"23","Barcelona","08001","Barcelona","Barcelona es una ciudad vibrante y cosmopolita ubicada en la costa noreste de España, en la región de Cataluña. Fundada por los romanos en el siglo I a.C., Barcelona tiene una historia rica y una mezcla única de influencias culturales._x000D_
_x000D_
Con una población de alrededor de 1.6 millones de habitantes en la ciudad y más de 4.8 millones en su área metropolitana, Barcelona es la segunda ciudad más poblada de España y uno de los destinos turísticos más populares de Europa._x000D_
_x000D_
La comida típica de Barcelona refleja la rica tradición culinaria catalana. Los platos emblemáticos incluyen la ""paella"", un delicioso arroz con mariscos o carne, y el ""pan con tomate"", una simple pero sabrosa combinación de pan tostado frotado con tomate fresco y aceite de oliva. También se destacan los ""calçots"", una variedad de cebolla tierna asada a la parrilla, y los ""pintxos"", pequeñas porciones de diferentes ingredientes ensartados en palillos._x000D_
_x000D_
Barcelona cuenta con una gran cantidad de lugares fascinantes para visitar. La Basílica de la Sagrada Familia, diseñada por el famoso arquitecto Antoni Gaudí, es un icono de la ciudad y una obra maestra arquitectónica en construcción desde 1882. El Parque Güell, otro proyecto de Gaudí, ofrece hermosos jardines y vistas panorámicas de la ciudad. La animada Rambla, una avenida peatonal llena de tiendas, cafeterías y artistas callejeros, es otro lugar imperdible. Además, el Barrio Gótico, con sus estrechas calles medievales y la Catedral de Barcelona, es un lugar encantador para explorar._x000D_
_x000D_
En resumen, Barcelona es una ciudad con una rica historia, una población diversa y una cocina deliciosa. Sus impresionantes obras arquitectónicas, animadas calles y hermosas playas la convierten en un destino turístico de renombre internacional.","1","Capital del Mediterráneo","https://www.barcelonaturisme.com/wv3/es/page/38/puntos-de-informacion-turistica.html","41.403884022807","2.1743747427678"
"78","Barranquilla","08001","Barranquilla","Barranquilla es una vibrante ciudad ubicada en la costa caribeña de Colombia. Fundada el 7 de abril de 1813, se ha convertido en un importante centro económico y cultural del país. Con una población actual de alrededor de 1.2 millones de habitantes, es la cuarta ciudad más grande de Colombia._x000D_
_x000D_
Barranquilla es conocida por su rica gastronomía, en la que se fusionan influencias indígenas, africanas y europeas. Uno de los platos típicos más destacados es el ""arroz con coco"", una deliciosa combinación de arroz, coco rallado y mariscos. También se puede disfrutar de ""arepas de huevo"", una especie de tortilla rellena de huevo frito, y ""bollo de yuca"", un bollo hecho a base de yuca rallada._x000D_
_x000D_
La ciudad cuenta con varios lugares emblemáticos para visitar. El famoso Carnaval de Barranquilla, considerado uno de los más grandes del mundo, atrae a miles de visitantes cada año con sus desfiles de danzas, comparsas y música tradicional. La Catedral Metropolitana María Reina es un impresionante templo religioso que combina elementos de arquitectura gótica y moderna._x000D_
_x000D_
El Museo del Caribe es otro lugar imperdible, donde se puede explorar la historia y la cultura de la región caribeña de Colombia. Además, el zoológico de Barranquilla alberga una gran variedad de especies de la fauna local y es un destino popular para las familias._x000D_
_x000D_
La ciudad también cuenta con hermosas playas como Puerto Velero y Salgar, ideales para relajarse y disfrutar del sol y el mar caribeño. Además, el Malecón de la ciudad ofrece una vista impresionante del río Magdalena y es un lugar popular para pasear, hacer ejercicio y disfrutar de la brisa marina._x000D_
_x000D_
En resumen, Barranquilla es una ciudad llena de historia, sabor y cultura. Con su comida típica, festivales animados y atractivos turísticos, ofrece una experiencia única que combina la tradición caribeña con la modernidad de una ciudad en constante crecimiento.","34","Caribe Colombiano","https://colombia.travel/en/barranquilla","10.995457018906","-74.786682118496"
"29","Berlin","10115","Berlin","Berlín, la capital de Alemania, es una ciudad vibrante y cosmopolita con una historia fascinante y una escena cultural en constante evolución. Fundada en el siglo XIII, Berlín ha experimentado una transformación significativa a lo largo de los años, desde su división durante la Guerra Fría hasta su reunificación en 1990._x000D_
_x000D_
Con una población de aproximadamente 3.8 millones de habitantes, Berlín es la ciudad más grande de Alemania y un importante centro político, económico y cultural en Europa._x000D_
_x000D_
La comida típica de Berlín es variada y refleja la influencia de diferentes regiones de Alemania. Entre los platos más emblemáticos se encuentra el ""currywurst"", una salchicha de cerdo frita cubierta con una salsa de ketchup y curry en polvo. Otros platos populares son el ""eisbein"", un jarrete de cerdo cocido, y los ""bretzels"", unos suaves pretzels salados. Además, la ciudad cuenta con una gran cantidad de restaurantes internacionales que ofrecen una amplia variedad de cocinas del mundo._x000D_
_x000D_
Berlín ofrece una gran cantidad de lugares para visitar. La Puerta de Brandenburgo, un símbolo icónico de la ciudad, es un lugar imprescindible, al igual que el Muro de Berlín y el Checkpoint Charlie, que ofrecen una visión de la historia reciente de la ciudad. El Museo de Pérgamo, la Isla de los Museos y la East Side Gallery también son destinos populares para los amantes del arte y la historia. Además, el barrio de Kreuzberg es conocido por su ambiente alternativo y su animada vida nocturna, mientras que el parque Tiergarten ofrece un oasis verde en el corazón de la ciudad._x000D_
_x000D_
Berlín también es famosa por sus festivales y eventos culturales, como el Festival de las Luces, la Berlinale (Festival Internacional de Cine de Berlín) y el Love Parade, una masiva fiesta de música electrónica._x000D_
_x000D_
En resumen, Berlín es una ciudad llena de historia, diversidad y creatividad. Su arquitectura impresionante, su escena artística y su ambiente único la convierten en un destino fascinante para los viajeros que desean explorar la riqueza cultural y la energía vibrante de la capital alemana.","14","Berlín es todavía pobre, pero muy sexy","https://www.visitberlin.de/es","52.514366614356","13.392548559232"
